sweep,family,propulsion,mission,agent,seed,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,status,source_file
my_pilot,electric,hall_hermes,leo_geo_transfer,random,0,365.0,0.1452763985233992,1.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,random,1,365.0,0.1437336973682396,1.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,random,2,365.0,0.1464631695077601,2.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,max_thrust,0,365.0,0.5847440714450024,874.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,max_thrust,1,365.0,0.5983822241372824,609.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,max_thrust,2,365.0,0.5823502680413706,828.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,prograde,0,365.0,0.322965462478344,551.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,prograde,1,365.0,0.3371001092621787,213.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,prograde,2,365.0,0.3276305341153884,507.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,edelbaum,0,365.0,0.2842210975736008,860.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,edelbaum,1,365.0,0.2935429412027198,471.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,edelbaum,2,365.0,0.2928766257402162,700.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_hermes,leo_geo_transfer,ppo,0,365.0,0.1610017991636166,1336.0,timeout,0.0,ok,results/my_pilot/results.csv
