family,propulsion,mission,sweep,agent,seed,trip_time_days
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,9144.25
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,9144.25
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,10000.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,10000.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,0,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,1,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,2,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,3,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,4,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,5,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,6,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,7,365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,0,365.0
