family,propulsion,mission,sweep,agent,seed,termination_reason_mode
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,timeout
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,0,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,1,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,2,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,3,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,4,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,5,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,6,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,7,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,0,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,1,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,2,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,3,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,4,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,5,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,6,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,7,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,0,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,1,timeout
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,2,timeout
