family,propulsion,mission,sweep,agent,termination_reason_mode,n_seeds
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,timeout,16
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,timeout,8
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,timeout,8
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,timeout,8
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,timeout,8
electric,hall_hermes,leo_geo_transfer,my_pilot,random,timeout,8
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,random,timeout,8
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,ppo,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,prograde,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,random,timeout,8
electric,ion_next,leo_geo_transfer,my_pilot,sac,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,random,timeout,8
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,timeout,8
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,timeout,8
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,timeout,8
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,timeout,8
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,timeout,8
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,timeout,8
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,timeout,8
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,timeout,8
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,timeout,8
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,timeout,8
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,timeout,8
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,safety_violation,3
electric,hall_spt100,leo_geo_transfer,smoke,ppo,safety_violation,3
electric,hall_spt100,leo_geo_transfer,smoke,random,safety_violation,3
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,out_of_propellant,8
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,out_of_propellant,8
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,timeout,8
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,out_of_propellant,8
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,out_of_propellant,8
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,timeout,8
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,timeout,8
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,hardware_failure,3
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,timeout,5
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,hardware_failure,8
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,timeout,8
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,hardware_failure,1
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,timeout,7
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,max_thrust,out_of_propellant,8
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,ppo,out_of_propellant,8
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,prograde,out_of_propellant,8
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,random,out_of_propellant,8
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,sac,out_of_propellant,8
nuclear,ntp_pewee,mars_crew_fast,my_pilot_nuclear,max_thrust,out_of_propellant,8
nuclear,ntp_pewee,mars_crew_fast,my_pilot_nuclear,ppo,out_of_propellant,8
nuclear,ntp_pewee,mars_crew_fast,my_pilot_nuclear,prograde,out_of_propellant,8
nuclear,ntp_pewee,mars_crew_fast,my_pilot_nuclear,random,out_of_propellant,8
nuclear,ntp_pewee,mars_crew_fast,my_pilot_nuclear,sac,out_of_propellant,8
nuclear,nep_kilopower,leo_geo_transfer,smoke,max_thrust,timeout,3
nuclear,nep_kilopower,leo_geo_transfer,smoke,ppo,timeout,3
nuclear,nep_kilopower,leo_geo_transfer,smoke,random,timeout,3
nuclear,ntp_pewee,leo_geo_transfer,smoke,max_thrust,diverged,3
nuclear,ntp_pewee,leo_geo_transfer,smoke,ppo,diverged,3
nuclear,ntp_pewee,leo_geo_transfer,smoke,random,out_of_propellant,3
