family,propulsion,mission,sweep,agent,seed,wear_fraction
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,0.1005332539435901
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,0.1005332539435901
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,0.0005628791626785
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,0.0005628791626785
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,0.0005925043817668
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,0.0005628791626785
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,0.0005628791626785
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,0.0005628791626785
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,0.0005628791626785
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,0,0.2842210975736008
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,1,0.2935429412027198
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,2,0.2928766257402162
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,3,0.285013028181511
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,4,0.2897561493597184
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,5,0.2913013844168363
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,6,0.2863042703494441
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,7,0.2792670532513656
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,0,0.5847440714450024
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,1,0.5983822241372824
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,2,0.5823502680413706
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,3,0.5765612197028642
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,4,0.5874420394232691
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,5,0.5823818604161515
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,6,0.5765426238472624
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,7,0.5641443363778004
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,0,0.1610017991636166
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,1,0.1567818790763646
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,2,0.163296206761243
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,3,0.1641579678487184
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,4,0.1574574356387756
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,5,0.1665924352100206
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,6,0.1573037454179068
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,7,0.1612202884378656
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,0,0.322965462478344
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,1,0.3371001092621787
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,2,0.3276305341153884
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,3,0.3194719219743436
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,4,0.3249854086846915
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,5,0.326981724833465
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,6,0.3218366045029375
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,7,0.3141288400030879
electric,hall_hermes,leo_geo_transfer,my_pilot,random,0,0.1452763985233992
electric,hall_hermes,leo_geo_transfer,my_pilot,random,1,0.1437336973682396
electric,hall_hermes,leo_geo_transfer,my_pilot,random,2,0.1464631695077601
electric,hall_hermes,leo_geo_transfer,my_pilot,random,3,0.1474797744269139
electric,hall_hermes,leo_geo_transfer,my_pilot,random,4,0.1446824087113547
electric,hall_hermes,leo_geo_transfer,my_pilot,random,5,0.1471108712398394
electric,hall_hermes,leo_geo_transfer,my_pilot,random,6,0.1435766397840431
electric,hall_hermes,leo_geo_transfer,my_pilot,random,7,0.1457680941077496
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,0,0.1626210052524684
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,1,0.1596328381756156
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,2,0.1649174540642807
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,3,0.1653865340888998
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,4,0.1585130683007499
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,5,0.1686102466147783
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,6,0.1598096877654721
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,7,0.1632301847716991
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,0,0.8579166666666667
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,1,0.8518333333333333
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,2,0.862111111111111
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,3,0.8655555555555556
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,4,0.8521111111111112
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,5,0.8726388888888889
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,6,0.8561944444444444
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,7,0.8597777777777778
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,0,0.9398254012779496
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,1,0.9488993642880932
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,2,0.9466158576501472
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,3,0.9453972259012564
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,4,0.940770169737744
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,5,0.9541048514206156
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,6,0.9374738861875698
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,7,0.9346499647578396
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,0,0.5182222222222221
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,1,0.1828055555555555
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,2,0.3318611111111111
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,3,0.2339999999999999
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,4,0.1293333333333333
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,5,0.3101944444444444
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,6,0.3036388888888889
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,7,0.7819166666666667
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,0,0.8550277777777778
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,1,0.8449722222222222
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,2,0.8579444444444444
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,3,0.8597222222222223
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,4,0.8453055555555555
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,5,0.8674166666666667
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,6,0.8519722222222221
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,7,0.8543611111111111
electric,hall_spt100,leo_geo_transfer,my_pilot,random,0,0.9105833333333332
electric,hall_spt100,leo_geo_transfer,my_pilot,random,1,0.9056388888888888
electric,hall_spt100,leo_geo_transfer,my_pilot,random,2,0.9168888888888888
electric,hall_spt100,leo_geo_transfer,my_pilot,random,3,0.9206388888888888
electric,hall_spt100,leo_geo_transfer,my_pilot,random,4,0.9024166666666666
electric,hall_spt100,leo_geo_transfer,my_pilot,random,5,0.9220833333333334
electric,hall_spt100,leo_geo_transfer,my_pilot,random,6,0.9078888888888887
electric,hall_spt100,leo_geo_transfer,my_pilot,random,7,0.9126111111111112
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,0,0.9608888888888888
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,1,0.6151111111111112
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,2,0.9616666666666668
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,3,0.6870277777777778
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,4,0.959
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,5,0.0143055555555555
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,6,0.9595
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,7,0.9608333333333332
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,0,0.1090374095037668
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,1,0.1099269416951954
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,2,0.1092316788553119
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,3,0.1090747689944486
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,4,0.1092316788553119
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,5,0.1086563426988129
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,6,0.1090598251981759
electric,ion_next,leo_geo_transfer,my_pilot,edelbaum,7,0.1092316788553119
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,0,0.1159999999999999
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,1,0.1147916666666666
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,2,0.1169479166666666
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,3,0.11703125
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,4,0.1149791666666666
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,5,0.1175208333333333
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,6,0.1151979166666666
electric,ion_next,leo_geo_transfer,my_pilot,max_thrust,7,0.1158802083333333
electric,ion_next,leo_geo_transfer,my_pilot,ppo,0,0.123625
electric,ion_next,leo_geo_transfer,my_pilot,ppo,1,0.122484375
electric,ion_next,leo_geo_transfer,my_pilot,ppo,2,0.1255
electric,ion_next,leo_geo_transfer,my_pilot,ppo,3,0.1258125
electric,ion_next,leo_geo_transfer,my_pilot,ppo,4,0.122328125
electric,ion_next,leo_geo_transfer,my_pilot,ppo,5,0.1268125
electric,ion_next,leo_geo_transfer,my_pilot,ppo,6,0.1230729166666666
electric,ion_next,leo_geo_transfer,my_pilot,ppo,7,0.124234375
electric,ion_next,leo_geo_transfer,my_pilot,prograde,0,0.1190624287365981
electric,ion_next,leo_geo_transfer,my_pilot,prograde,1,0.1292909586118758
electric,ion_next,leo_geo_transfer,my_pilot,prograde,2,0.1206762252316415
electric,ion_next,leo_geo_transfer,my_pilot,prograde,3,0.1182565926172246
electric,ion_next,leo_geo_transfer,my_pilot,prograde,4,0.1256421739963822
electric,ion_next,leo_geo_transfer,my_pilot,prograde,5,0.119186667864761
electric,ion_next,leo_geo_transfer,my_pilot,prograde,6,0.1211877613732865
electric,ion_next,leo_geo_transfer,my_pilot,prograde,7,0.1150289447591362
electric,ion_next,leo_geo_transfer,my_pilot,random,0,0.1097395833333333
electric,ion_next,leo_geo_transfer,my_pilot,random,1,0.1095989583333333
electric,ion_next,leo_geo_transfer,my_pilot,random,2,0.110375
electric,ion_next,leo_geo_transfer,my_pilot,random,3,0.1101406249999999
electric,ion_next,leo_geo_transfer,my_pilot,random,4,0.1093802083333333
electric,ion_next,leo_geo_transfer,my_pilot,random,5,0.11053125
electric,ion_next,leo_geo_transfer,my_pilot,random,6,0.1091875
electric,ion_next,leo_geo_transfer,my_pilot,random,7,0.1095833333333333
electric,ion_next,leo_geo_transfer,my_pilot,sac,0,0.1241458333333333
electric,ion_next,leo_geo_transfer,my_pilot,sac,1,0.1223802083333333
electric,ion_next,leo_geo_transfer,my_pilot,sac,2,0.1255520833333333
electric,ion_next,leo_geo_transfer,my_pilot,sac,3,0.1260260416666666
electric,ion_next,leo_geo_transfer,my_pilot,sac,4,0.1226041666666666
electric,ion_next,leo_geo_transfer,my_pilot,sac,5,0.1270104166666666
electric,ion_next,leo_geo_transfer,my_pilot,sac,6,0.1232604166666666
electric,ion_next,leo_geo_transfer,my_pilot,sac,7,0.1242083333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,0,0.1838083333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,1,0.1894666666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,2,0.18515
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,3,0.1853416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,4,0.187075
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,5,0.1838416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,6,0.1851833333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,7,0.18295
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,0,0.2589666666666667
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,1,0.2572416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,2,0.260625
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,3,0.26215
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,4,0.25805
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,5,0.263575
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,6,0.2588833333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,7,0.25915
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,0,0.2610333333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,1,0.259025
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,2,0.261525
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,3,0.263
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,4,0.2588083333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,5,0.2642833333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,6,0.26005
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,7,0.2604333333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,0,0.1849416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,1,0.1911833333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,2,0.1861166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,3,0.1847416666666667
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,4,0.1872166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,5,0.1849416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,6,0.18445
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,7,0.1844583333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,random,0,0.2480583333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,random,1,0.2484166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,2,0.2493249999999999
electric,ion_nstar,leo_geo_transfer,my_pilot,random,3,0.2490583333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,random,4,0.2473416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,5,0.2516166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,6,0.2470166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,7,0.2462083333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,0,0.26125
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,1,0.2586916666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,2,0.2625
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,3,0.2628
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,4,0.259075
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,5,0.2643666666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,6,0.2603
