family,propulsion,mission,sweep,agent,seed,constraint_violations
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,58.95
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,0,58.95
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,1,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,2,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,3,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,4,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,5,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,6,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,0.0
electric,hall_hermes,earth_mars_cargo,electric_vs_nuclear,bang_bang,7,0.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,0,860.0
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,1,471.5
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,2,700.75
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,3,1141.25
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,4,650.75
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,5,616.75
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,6,570.25
electric,hall_hermes,leo_geo_transfer,my_pilot,edelbaum,7,994.75
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,0,874.5
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,1,609.5
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,2,828.25
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,3,950.25
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,4,696.75
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,5,946.25
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,6,773.0
electric,hall_hermes,leo_geo_transfer,my_pilot,max_thrust,7,867.75
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,0,1336.0
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,1,1346.5
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,2,1365.0
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,3,1364.5
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,4,1342.0
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,5,1363.25
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,6,1316.25
electric,hall_hermes,leo_geo_transfer,my_pilot,ppo,7,1347.25
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,0,551.25
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,1,213.75
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,2,507.25
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,3,671.75
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,4,330.0
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,5,654.25
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,6,460.25
electric,hall_hermes,leo_geo_transfer,my_pilot,prograde,7,609.5
electric,hall_hermes,leo_geo_transfer,my_pilot,random,0,1.0
electric,hall_hermes,leo_geo_transfer,my_pilot,random,1,1.0
electric,hall_hermes,leo_geo_transfer,my_pilot,random,2,2.75
electric,hall_hermes,leo_geo_transfer,my_pilot,random,3,6.25
electric,hall_hermes,leo_geo_transfer,my_pilot,random,4,1.5
electric,hall_hermes,leo_geo_transfer,my_pilot,random,5,3.5
electric,hall_hermes,leo_geo_transfer,my_pilot,random,6,1.75
electric,hall_hermes,leo_geo_transfer,my_pilot,random,7,4.0
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,0,1356.5
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,1,1376.5
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,2,1381.5
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,3,1375.25
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,4,1351.25
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,5,1384.75
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,6,1341.5
electric,hall_hermes,leo_geo_transfer,my_pilot,sac,7,1370.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,7,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,3,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,4,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,5,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,6,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,7,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,0,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,1,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,2,0.0
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,3,0.0
