run_id,sweep,agent,propulsion,mission,cost_model,seed,pairing,family,train_steps_requested,eval_episodes,status,learns,protocol_version,report_policy,selection_metric,train_env_steps,eval_env_steps,n_updates,wall_train_s,wall_eval_s,wall_total_s,wall_update_s,act_seconds,act_ms_per_step,planning_sim_steps,num_parameters,n_val_seeds,n_test_seeds,val_seed_lo,test_seed_lo,best_at_step,best_reloaded,norm_frozen,uses_constraints,n_episodes,success_rate,return,return_std,progress,delta_v_m_s,propellant_kg,trip_time_days,wear_fraction,constraint_violations,constraint_cost,terminal_error,payload_delivered_kg,throttle_mean,throttle_saturated_frac,throttle_off_frac,operating_point_mean,throttled_frac,cost_per_kg_delivered,cost_per_kg_delivered_n_finite,cost_total,cost_total_n_finite,cost_per_delta_v,cost_per_delta_v_n_finite,figure_of_merit,figure_of_merit_n_finite,termination_reason_mode,throttled_by_mode,final_n_episodes,final_success_rate,final_return,final_return_std,final_progress,final_delta_v_m_s,final_propellant_kg,final_trip_time_days,final_wear_fraction,final_constraint_violations,final_constraint_cost,final_terminal_error,final_payload_delivered_kg,final_throttle_mean,final_throttle_saturated_frac,final_throttle_off_frac,final_operating_point_mean,final_throttled_frac,final_cost_per_kg_delivered,final_cost_per_kg_delivered_n_finite,final_cost_total,final_cost_total_n_finite,final_cost_per_delta_v,final_cost_per_delta_v_n_finite,final_figure_of_merit,final_figure_of_merit_n_finite,final_termination_reason_mode,final_throttled_by_mode,best_n_episodes,best_success_rate,best_return,best_return_std,best_progress,best_delta_v_m_s,best_propellant_kg,best_trip_time_days,best_wear_fraction,best_constraint_violations,best_constraint_cost,best_terminal_error,best_payload_delivered_kg,best_throttle_mean,best_throttle_saturated_frac,best_throttle_off_frac,best_operating_point_mean,best_throttled_frac,best_cost_per_kg_delivered,best_cost_per_kg_delivered_n_finite,best_cost_total,best_cost_total_n_finite,best_cost_per_delta_v,best_cost_per_delta_v_n_finite,best_figure_of_merit,best_figure_of_merit_n_finite,best_termination_reason_mode,best_throttled_by_mode
09924c1cc71d,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,0,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,525770,0,3.5000016396224964e-07,236.44213452300005,236.461245513,0.0,26.93819295803496,1346.909647901748,0.0,0,8,20,700000000,900000000,0,False,True,False,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,432936544.9962789,20,,0,0.0,20,timeout,none,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,432936544.9962789,20,,0,0.0,20,timeout,none,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,432936544.9962789,20,,0,0.0,20,timeout,none
73ba1e158659,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,6,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,2.899998889915878e-07,251.30642147999993,251.33269758000029,0.0,29.913899786092543,1495.6949893046271,0.0,0,8,20,700060000,900060000,0,False,True,False,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none
c3b684007fed,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,3,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.610000476328423e-07,251.37740570200003,251.39430913200022,0.0,29.144486217933718,1457.224310896686,0.0,0,8,20,700030000,900030000,0,False,True,False,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none
22059119365d,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,5,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.5600010050984565e-07,251.60471116200029,251.6146348249997,0.0,29.100191020132115,1455.0095510066058,0.0,0,8,20,700050000,900050000,0,False,True,False,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none
8a0569ae06ff,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,1,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,4.4000012167089153e-07,252.17394189499987,252.19617896199975,0.0,29.607083881144263,1480.3541940572131,0.0,0,8,20,700010000,900010000,0,False,True,False,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none
a03bdfd466d2,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,2,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,4.040000476379646e-07,252.17995044699978,252.20264853699996,0.0,29.084844791928617,1454.2422395964309,0.0,0,8,20,700020000,900020000,0,False,True,False,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none
3ebef34d2e0d,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,4,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.149998519802466e-07,252.67840684199996,252.69674215399982,0.0,29.953011524819658,1497.650576240983,0.0,0,8,20,700040000,900040000,0,False,True,False,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,471952326.80445194,20,,0,0.0,20,timeout,none
b65ef3ab8056,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,reference,7,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.8999996831989847e-07,253.43256028999986,253.45216434099984,0.0,29.495288224960177,1474.7644112480089,0.0,0,8,20,700070000,900070000,0,False,True,False,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,471951384.1233713,20,,0,0.0,20,timeout,none
bca897eaa092,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,0,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,525770,0,3.4899994716397487e-07,239.9921074480003,239.99544363899986,0.0,27.012996888902308,1350.6498444451154,0.0,0,8,20,700000000,900000000,0,False,True,False,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,1218871968.377183,20,,0,0.0,20,timeout,none,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,1218871968.377183,20,,0,0.0,20,timeout,none,20,0.0,-786820.0334139125,263433.0594752436,0.014415647222756695,211.7138880301245,201.08937798856184,9144.25,0.10053325394359018,58.95,1.3003011831270683,286732456507.7295,0.0,0.09128615610389826,0.09128615610389826,0.9087138438961014,0.5,0.058301431991727236,,0,1218871968.377183,20,,0,0.0,20,timeout,none
6dd178a939a8,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,6,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.360000846441835e-07,253.32483219300002,253.33238674199993,0.0,29.317517048793434,1465.8758524396717,0.0,0,8,20,700060000,900060000,0,False,True,False,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3944389846,0.10720493427688053,0.00016224972062303666,1.3114522420059593,1.1257583253571009,10000.0,0.0005628791626785504,0.0,0.0,310434300407.6034,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none
3fa1e963af96,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,4,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.760001163755078e-07,254.49439829199991,254.499233689,0.0,29.69667131204733,1484.8335656023664,0.0,0,8,20,700040000,900040000,0,False,True,False,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3509854011,0.13008756224496232,0.00015159590984294423,1.3759840873686453,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,308562392292.0205,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none
bd8c9a6a138f,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,1,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.800000740739051e-07,255.48626287999969,255.48981286599974,0.0,29.688934218152554,1484.4467109076277,0.0,0,8,20,700010000,900010000,0,False,True,False,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3384974634,0.16148503867859146,0.00014445263418639832,1.3219697456948296,1.1257583253571009,10000.0,0.0005628791626785503,0.0,0.0,328504297159.6924,0.0,4.75e-05,4.75e-05,0.9999524999999997,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none
d7c91a5fdf1b,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,3,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.1900026442599483e-07,255.323288305,255.33066694700028,0.0,29.825255179011492,1491.2627589505746,0.0,0,8,20,700030000,900030000,0,False,True,False,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3686516027,0.12407328038713124,5.296308174543296e-05,1.3821340280726246,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,318571537395.10364,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none
0a8e699256e2,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,2,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,6.190002750372514e-07,255.718616956,255.725989131,0.0,30.283730259116055,1514.1865129558028,0.0,0,8,20,700020000,900020000,0,False,True,False,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3828512568,0.131547625510956,1.56036100481427e-05,1.3788632131177199,1.1850087635337903,10000.0,0.0005925043817668951,0.0,0.0,303346810641.2239,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none
fa28ef949c21,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,5,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.8999996831989847e-07,255.69681779099983,255.70004165,0.0,29.8998548099471,1494.992740497355,0.0,0,8,20,700050000,900050000,0,False,True,False,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none,20,0.0,-872406.3142300562,0.16413180617639442,4.9205053407636035e-05,1.3814412413000172,1.1850087635337903,10000.0,0.000592504381766895,0.0,0.0,306869731170.08606,0.0,5e-05,5e-05,0.9999499999999998,0.5,0.0,,0,1332616830.0115483,20,,0,0.0,20,timeout,none
1bd0d6b76472,electric_vs_nuclear,bang_bang,hall_hermes,earth_mars_cargo,conservative,7,bang_bang@hall_hermes,electric,300000,20,ok,False,3,best,return,0,560000,0,3.420000211917795e-07,256.06481616699966,256.07131273000005,0.0,29.82738960494771,1491.3694802473856,0.0,0,8,20,700070000,900070000,0,False,True,False,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none,20,0.0,-872406.3749188904,0.16121434899115095,7.006250478278631e-05,1.3129520140780715,1.1257583253571009,10000.0,0.0005628791626785502,0.0,0.0,287122255458.7349,0.0,4.75e-05,4.75e-05,0.9999524999999998,0.5,0.0,,0,1332611880.3270812,20,,0,0.0,20,timeout,none
